"Mã TTHC","Tên TTHC","Mã cơ quan công bố","Cơ quan công bố","Lĩnh vực","Cấp thực hiện"
"1.001364","Cấp Giấy chứng nhận thẩm định thiết kế phương tiện thủy nội địa và Giấy chứng nhận thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa","000.00.00.G04","Bộ Giao thông vận tải","Đăng kiểm","Cấp Tỉnh"
"1.001386","Xác định trường hợp được bồi thường do xảy ra tai biến trong tiêm chủng","000.00.00.G18","Bộ Y tế","Y tế Dự phòng","Cấp Tỉnh"
"1.001392","Thủ tục miễn giảm kiểm tra chất lượng hàng hóa nhóm 2 nhập khẩu (cấp tỉnh)","000.00.00.G06","Bộ Khoa học và Công nghệ","Tiêu chuẩn đo lường chất lượng","Cấp Tỉnh"
"1.001393","Cấp lại Giấy chứng nhận là lương y thuộc thẩm quyền của Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001398","Cấp giấy chứng nhận là lương y cho các đối tượng quy định tại Khoản 6, Điều 1, Thông tư số 29/2015/TT-BYT","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001407","Thủ tục đổi Giấy chứng nhận đăng ký hoạt động của cơ sở hỗ trợ nạn nhân bạo lực gia đình (thầm quyền của Uỷ ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.001420","Thủ tục cấp lại Giấy chứng nhận đăng ký hoạt động của cơ sở hỗ trợ nạn nhân bạo lực gia đình (thẩm quyền của Uỷ ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.001432","Thủ tục cấp đổi thẻ hướng dẫn viên du lịch quốc tế, thẻ hướng dẫn viên du lịch nội địa","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Du lịch","Cấp Tỉnh"
"1.001438","Chấm dứt tập sự hành nghề công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001440","Thủ tục cấp thẻ hướng dẫn viên du lịch tại điểm","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Du lịch","Cấp Tỉnh"
"1.001441","Gia hạn Giấy phép lập cơ sở bán lẻ","000.00.00.G02","Bộ Công thương","Thương mại quốc tế","Cấp Tỉnh"
"1.001446","Đăng ký tập sự lại hành nghề công chứng sau khi chấm dứt tập sự hành nghề công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001455","Thủ tục công nhận cơ sở kinh doanh dịch vụ chăm sóc sức khỏe đạt tiêu chuẩn phục vụ khách du lịch","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Du lịch","Cấp Tỉnh"
"1.001492","Đăng ký hoạt động của Văn phòng đại diện giáo dục nước ngoài tại Việt Nam","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001493","Chấm dứt hoạt động cơ sở đào tạo, bồi dưỡng ngắn hạn có vốn đầu tư nước ngoài tại Việt Nam","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001495","Cho phép hoạt động giáo dục trở lại đối với cơ sở đào tạo, bồi dưỡng ngắn hạn;cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001496","Chấm dứt hoạt động liên kết giáo dục theo đề nghị của các bên liên kết","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001497","Gia hạn, điều chỉnh hoạt động liên kết giáo dục","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001499","Phê duyệt liên kết giáo dục","000.00.00.G03","Bộ Giáo dục và Đào tạo","Đào tạo với nước ngoài","Cấp Tỉnh"
"1.001500","Thủ tục cấp giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Bóng ném","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.001514","Miễn nhiệm giám định viên pháp y và giám định viên pháp y tâm thần thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh","000.00.00.G18","Bộ Y tế","Tổ chức cán bộ","Cấp Tỉnh"
"1.001517","Thủ tục cấp giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Leo núi thể thao","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.001523","Bổ nhiệm giám định viên pháp y và giám định viên pháp y tâm thần thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh","000.00.00.G18","Bộ Y tế","Tổ chức cán bộ","Cấp Tỉnh"
"1.001527","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Bóng rổ","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.001532","Cấp giấy chứng nhận là lương y cho các đối tượng quy định tại Khoản 5, Điều 1, Thông tư số 29/2015/TT-BYT","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001536","Thủ tục yêu cầu hỗ trợ từ Quỹ phát triển khoa học và công nghệ quốc gia, bộ, địa phương","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001538","Cấp Giấy chứng nhận là lương y cho các đối tượng quy định tại Khoản 4, Điều 1, Thông tư số 29/2015/TT-BYT","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001550","Thủ tục đề nghị giải thể tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở một tỉnh theo quy định của hiến chương của tổ chức","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001552","Cấp Giấy chứng nhận là lương y cho các đối tượng quy định tại Khoản 1, Điều 1, Thông tư số 29/2015/TT-BYT","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001565","Thủ tục đăng ký tham gia tuyển chọn, giao trực tiếp nhiệm vụ KH&CN cấp quốc gia sử dụng ngân sách nhà nước","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001570","Tạm ngừng kinh doanh, tiếp tục kinh doanh trước thời hạn đã thông báo của hộ kinh doanh","000.00.00.G05","Bộ Kế hoạch và Đầu tư","Thành lập và hoạt động doanh nghiệp (hộ kinh doanh)","Cấp Huyện"
"1.001577","Gia hạn Giấy phép liên vận Campuchia –Việt Nam cho phương tiện của Campuchia tại Việt Nam","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001589","Thủ tục đề nghị giảng đạo ngoài địa bàn phụ trách, cơ sở tôn giáo, địa điểm hợp pháp đã đăng ký có quy mô tổ chức ở nhiều huyện thuộc một tỉnh hoặc ở nhiều tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001595","Cho phép cơ sở khám bệnh, chữa bệnh được tiếp tục hoạt động khám bệnh, chữa bệnh sau khi bị đình chỉ hoạt động chuyên môn thuộc thẩm quyền của Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001600","Thay đổi thông tin đăng ký hành nghề của doanh nghiệp quản lý, thanh lý tài sản","000.00.00.G15","Bộ Tư pháp","Quản tài viên","Cấp Tỉnh"
"1.001604","Thủ tục đề nghị tổ chức cuộc lễ ngoài cơ sở tôn giáo, địa điểm hợp pháp đã đăng ký có quy mô tổ chức ở nhiều huyện thuộc một tỉnh hoặc ở nhiều tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001610","Thủ tục đề nghị tổ chức đại hội của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo có địa bàn hoạt động ở nhiều huyện thuộc một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001612","Đăng ký thành lập hộ kinh doanh","000.00.00.G05","Bộ Kế hoạch và Đầu tư","Thành lập và hoạt động doanh nghiệp (hộ kinh doanh)","Cấp Huyện"
"1.001622","Hỗ trợ ăn trưa cho trẻ em mẫu giáo","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","Cấp Huyện"
"1.001623","Cấp lại giấy phép đào tạo lái xe ô tô trong trường hợp điều chỉnh hạng xe đào tạo, lưu lượng đào tạo","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001624","Thủ tục thông báo tổ chức hội nghị thường niên của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở nhiều huyện thuộc một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001626","Thủ tục thông báo danh mục hoạt động tôn giáo bổ sung đối với tổ chức có địa bàn hoạt động tôn giáo ở nhiều huyện thuộc một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001628","Thủ tục thông báo danh mục hoạt động tôn giáo đối với tổ chức có địa bàn hoạt động tôn giáo ở nhiều huyện thuộc một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001633","Thay đổi thông tin đăng ký hành nghề của Quản tài viên","000.00.00.G15","Bộ Tư pháp","Quản tài viên","Cấp Tỉnh"
"1.001637","Thủ tục thông báo cách chức, bãi nhiệm chức việc của tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001639","Giải thể trường tiểu học (theo đề nghị của tổ chức, cá nhân đề nghị thành lập trường tiểu học)","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục tiểu học","Cấp Huyện"
"1.001640","Thủ tục thông báo cách chức, bãi nhiệm chức sắc, chức việc đối với các trường hợp quy định tại khoản 2 Điều 33 và khoản 2 Điều 34 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001641","Công bố cơ sở đủ điều kiện thực hiện khám sức khỏe lái xe thuộc thẩm quyền Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001642","Thủ tục thông báo thuyên chuyển chức sắc, chức việc, nhà tu hành","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001645","Lấy ý kiến Ủy ban nhân dân cấp xã, cấp huyện đối với các dự án đầu tư có chuyển nước từ nguồn nước nội tỉnh","000.00.00.G13","Bộ Tài nguyên và Môi trường","Tài nguyên nước","Cấp Tỉnh"
"1.001647","Chuyển nhượng Văn phòng công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001648","Cấp lại giấy phép đào tạo lái xe ô tô trong trường hợp điều chỉnh hạng xe đào tạo, lưu lượng đào tạo","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001652","Xét tặng danh hiệu Nhà giáo ưu tú","000.00.00.G03","Bộ Giáo dục và Đào tạo","Tiêu chuẩn nhà giáo, cán bộ quản lý giáo dục","Cấp Tỉnh"
"1.001652","Xét tặng danh hiệu Nhà giáo ưu tú","000.00.00.G03","Bộ Giáo dục và Đào tạo","Tiêu chuẩn nhà giáo, cán bộ quản lý giáo dục","Cấp Huyện"
"1.001662","Đăng ký khai thác nước dưới đất (TTHC cấp huyện)","000.00.00.G13","Bộ Tài nguyên và Môi trường","Tài nguyên nước","Cấp Huyện"
"1.001664","Giải ngân khoản vốn hỗ trợ cho doanh nghiệp (cấp tỉnh)","000.00.00.G05","Bộ Kế hoạch và Đầu tư","Đầu tư vào nông nghiệp, nông thôn","Cấp Tỉnh"
"1.001665","Sáp nhập Văn phòng công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001669","Thủ tục đăng ký giám hộ có yếu tố nước ngoài","000.00.00.G15","Bộ Tư pháp","Hộ tịch","Cấp Huyện"
"1.001671","Thủ tục cấp giấy phép đưa tác phẩm nhiếp ảnh từ Việt Nam ra nước ngoài triển lãm (thẩm quyền của Ủy ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001677","Thay đổi, bổ sung nội dung Giấy chứng nhận hoạt động cho văn phòng đại diện, chi nhánh của tổ chức khoa học và công nghệ","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001686","Cấp Giấy chứng nhận đủ điều kiện buôn bán thuốc thú y","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Thú y","Cấp Tỉnh"
"1.001688","Hợp nhất Văn phòng công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001693","Cấp lại Giấy chứng nhận hoạt động cho văn phòng đại diện, chi nhánh của tổ chức khoa học và công nghệ","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001695","Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài","000.00.00.G15","Bộ Tư pháp","Hộ tịch","Cấp Huyện"
"1.001696","Chuyển tiếp đăng ký thế chấp quyền tài sản phát sinh từ hợp đồng mua bán nhà ở","000.00.00.G15","Bộ Tư pháp","Đăng ký biện pháp bảo đảm","Cấp Huyện"
"1.001696","Chuyển tiếp đăng ký thế chấp quyền tài sản phát sinh từ hợp đồng mua bán nhà ở","000.00.00.G15","Bộ Tư pháp","Đăng ký biện pháp bảo đảm","Cấp Tỉnh"
"1.001704","Thủ tục cấp giấy phép triển lãm tác phẩm nhiếp ảnh tại Việt Nam (thẩm quyền của Ủy ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001714","Cấp học bổng và hỗ trợ kinh phí mua phương tiện, đồ dùng học tập dùng riêng cho người khuyết tật học tại các cơ sở giáo dục","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","Cấp Tỉnh"
"1.001714","Cấp học bổng và hỗ trợ kinh phí mua phương tiện, đồ dùng học tập dùng riêng cho người khuyết tật học tại các cơ sở giáo dục","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","Cấp Huyện"
"1.001716","Cấp Giấy chứng nhận hoạt động lần đầu cho văn phòng đại diện, chi nhánh của tổ chức khoa học và công nghệ","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001721","Đăng ký tham dự kiểm tra kết quả tập sự hành nghề công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001731","Hỗ trợ chi phí mai táng cho đối tượng bảo trợ xã hội","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.001734","Cho phép áp dụng chính thức kỹ thuật mới, phương pháp mới trong khám bệnh, chữa bệnh thuộc thẩm quyền quản lý của Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001735","Cấp Giấy phép xe tập lái","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001737","Gia hạn Giấy phép vận tải và thời gian lưu hành tại Việt Nam cho phương tiện của Trung Quốc","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001738","Thủ tục cấp giấy phép tổ chức trại sáng tác điêu khắc (thẩm quyền của Ủy ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001739","Nhận chăm sóc, nuôi dưỡng đối tượng cần bảo vệ khẩn cấp","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.001740","Lấy ý kiến Ủy ban nhân dân cấp tỉnh đối với các dự án đầu tư có chuyển nước từ nguồn nước liên tỉnh, dự án đầu tư xây dựng hồ, đập trên dòng chính thuộc lưu vực sông liên tỉnh (TTHC cấp tỉnh)","000.00.00.G13","Bộ Tài nguyên và Môi trường","Tài nguyên nước","Cấp Tỉnh"
"1.001747","Thay đổi, bổ sung nội dung Giấy chứng nhận đăng ký hoạt động của tổ chức khoa học và công nghệ.","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001750","Cho phép áp dụng thí điểm kỹ thuật mới, phương pháp mới trong khám bệnh, chữa bệnh đối với kỹ thuật mới, phương pháp mới quy định tại Khoản 3 Điều 2 Thông tư số 07/2015/TT-BYT thuộc thẩm quyền quản lý của Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001751","Cấp lại Giấy phép xe tập lái","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001753","Quyết định trợ cấp xã hội hàng tháng, hỗ trợ kinh phí chăm sóc, nuôi dưỡng hàng tháng khi đối tượng thay đổi nơi cư trú giữa các quận, huyện, thị xã, thành phố thuộc tỉnh, trong và ngoài tỉnh, thành phố trực thuộc trung ương","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.001755","Thủ tục cấp giấy phép xây dựng tượng đài, tranh hoành tráng","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001756","Đăng ký hành nghề và cấp Thẻ công chứng viên","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001758","Chi trả trợ cấp xã hội hàng tháng, hỗ trợ kinh phí chăm sóc, nuôi dưỡng hàng tháng khi đối tượng thay đổi nơi cư trú trong cùng địa bàn quận, huyện, thị xã, thành phố thuộc tỉnh","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.001765","Cấp Giấy chứng nhận giáo viên dạy thực hành lái xe","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001766","Thủ tục đăng ký khai tử có yếu tố nước ngoài","000.00.00.G15","Bộ Tư pháp","Hộ tịch","Cấp Huyện"
"1.001770","Cấp lại Giấy chứng nhận đăng ký hoạt động của tổ chức khoa học và công nghệ","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001775","Thủ tục đề nghị cấp đăng ký pháp nhân phi thương mại cho tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001776","Thực hiện, điều chỉnh, thôi hưởng trợ cấp xã hội hàng tháng, hỗ trợ kinh phí chăm sóc, nuôi dưỡng hàng tháng","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.001777","Cấp giấy phép đào tạo lái xe ô tô","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001778","Thủ tục cấp giấy phép sao chép tác phẩm mỹ thuật về danh nhân văn hóa, anh hùng dân tộc, lãnh tụ","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001782","Thủ tục đăng cai tổ chức giải thi đấu vô địch từng môn thể thao của tỉnh, thành phố trực thuộc trung ương","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.001786","Cấp Giấy chứng nhận đăng ký hoạt động lần đầu cho tổ chức khoa học và công nghệ","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.001797","Thủ tục đề nghị thay đổi trụ sở của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001799","Cấp lại Thẻ công chứng viên","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001801","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Bắn súng thể thao","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.001806","Quyết định công nhận cơ sở sản xuất, kinh doanh sử dụng từ 30% tổng số lao động trở lên là người khuyết tật","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Tỉnh"
"1.001807","Thủ tục đề nghị thay đổi tên của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001809","Thủ tục cấp giấy phép triển lãm mỹ thuật (thẩm quyền của Ủy ban nhân dân cấp tỉnh)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001818","Thủ tục đề nghị mời chức sắc, nhà tu hành là người nước ngoài đến giảng đạo cho tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001822","Thủ tục cấp chứng chỉ hành nghề tu bổ di tích","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Di sản văn hóa","Cấp Tỉnh"
"1.001823","Gia hạn giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.001824","Cho phép cá nhân trong nước, nước ngoài tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001826","Thu hồi Giấy chứng nhận đăng ký, biển số xe máy chuyên dùng","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.001832","Thủ tục đề nghị mời tổ chức, cá nhân nước ngoài vào Việt Nam thực hiện hoạt động tôn giáo ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001833","Thủ tục tiếp nhận thông báo tổ chức thi sáng tác tác phẩm mỹ thuật (thẩm quyền của Sở Văn hóa, Thể thao và Du lịch)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Mỹ thuật, nhiếp ảnh, triển lãm","Cấp Tỉnh"
"1.001837","Thủ tục chấm dứt hoạt động của Văn phòng đại diện tại Việt Nam của doanh nghiệp kinh doanh dịch vụ lữ hành nước ngoài","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Du lịch","Cấp Tỉnh"
"1.001842","Đăng ký hành nghề quản lý, thanh lý tài sản đối với doanh nghiệp quản lý, thanh lý tài sản","000.00.00.G15","Bộ Tư pháp","Quản tài viên","Cấp Tỉnh"
"1.001843","Thủ tục đề nghị sinh hoạt tôn giáo tập trung của người nước ngoài cử trú hợp pháp tại Việt Nam","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001846","Cho phép Đoàn khám bệnh, chữa bệnh trong nước tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001853","Cấp lại giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.001854","Thủ tục đăng ký thuyên chuyển chức sắc, chức việc, nhà tu hành là người đang bị buộc tội hoặc người chưa được xóa án tích","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001865","Cấp giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.001866","Cho phép Đoàn khám bệnh, chữa bệnh nước ngoài tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001874","Thủ tục đổi Giấy chứng nhận đăng ký hoạt động của cơ sở tư vấn về phòng, chống bạo lực gia đình (thẩm quyền của Uỷ ban nhân dân cấp huyện)","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Huyện"
"1.001875","Thủ tục đề nghị thành lập, chia, tách, sáp nhập, hợp nhất tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001877","Thành lập Văn phòng công chứng","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.001881","Giải quyết hỗ trợ kinh phí đào tạo, bồi dưỡng nâng cao trình độ kỹ năng nghề để duy trì việc làm cho người lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.001884","Cho phép Đội khám bệnh, chữa bệnh chữ thập đỏ lưu động tổ chức khám bệnh, chữa bệnh nhân đạo tại cơ sở khám bệnh, chữa bệnh trực thuộc Sở Y tế","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.001886","Thủ tục đăng ký sửa đổi hiến chương của tổ chức tôn giáo có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001893","Công bố cơ sở kinh doanh có tổ chức kệ thuốc","000.00.00.G18","Bộ Y tế","Dược phẩm","Cấp Tỉnh"
"1.001894","Thủ tục đề nghị công nhận tổ chức tôn giáo có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.001896","Cấp đổi Giấy chứng nhận đăng ký, biển số xe máy chuyên dùng","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
